# Professional deduction scale for public transports.	
# [Count in KM] [Allowed deduction]	
0	0
1	1176
2	1176
3	1423
4	1587
5	1669
6	1849
7	1947
8	2094
9	2224
10	2372
11	2452
12	2531
13	2626
14	2706
15	2786
16	2856
17	2896
18	2936
19	2976
20	3001
21	3026
22	3051
23	3076
24	3101
25	3136
26	3166
27	3196
28	3226
29	3256
30	3288
31	3320
32	3352
33	3384
34	3416
35	3448
36	3480
37	3512
38	3544
39	3576
40	3608
41	3640
42	3672
43	3704
44	3736
45	3768
46	3800
47	3832
48	3864
49	3896
50	3928
51	4080
