0	0
10	3094
12	3611
14	4098
16	4559
18	4994
20	5405
22	5796
24	6166
26	6518
28	6854
30	7175
32	7483
34	7779
36	8064
38	8341
40	8609
42	8872
44	9128
46	9381
48	9631
50	9655
52	9896
54	10137
56	10378
58	10621
60	10866
62	11113
64	11365
66	11620
68	11879
70	12144
72	12414
74	12690
76	12971
78	13259
80	13322
82	13618
84	13919
86	14228
88	14542
90	14863
92	15190
94	15523
96	15861
98	16205
100	16553
102	16906
104	17263
106	17623
108	17987
110	18352
112	18719
114	19087
116	19454
118	19821
120	21232
122	21613
124	21989
126	22361
128	22726
130	23083
135	23934
140	24707
145	25376
150	25918
155	26504
160	27073
165	27624
170	28158
175	28673
180	29170
185	29650
190	30112
195	30555
200	30981
210	31780
220	32587
230	33441
240	34296
250	35150
260	36005
270	36860
280	37714
290	38569
300	39424
